"Year","Gas","Concentration"
1990,"Carbon.dioxide",5121.17944
1991,"Carbon.dioxide",5071.563914
1992,"Carbon.dioxide",5174.670601
1993,"Carbon.dioxide",5281.386608
1994,"Carbon.dioxide",5375.033803
1995,"Carbon.dioxide",5436.697986
1996,"Carbon.dioxide",5625.041885
1997,"Carbon.dioxide",5701.920919
1998,"Carbon.dioxide",5749.893056
1999,"Carbon.dioxide",5829.519951
2000,"Carbon.dioxide",5997.298912
2001,"Carbon.dioxide",5899.855485
2002,"Carbon.dioxide",5942.42141
2003,"Carbon.dioxide",5991.190935
2004,"Carbon.dioxide",6105.44411
2005,"Carbon.dioxide",6130.552417
2006,"Carbon.dioxide",6050.384604
2007,"Carbon.dioxide",6127.888221
2008,"Carbon.dioxide",5928.256329
2009,"Carbon.dioxide",5493.547908
2010,"Carbon.dioxide",5700.108337
2011,"Carbon.dioxide",5572.584775
2012,"Carbon.dioxide",5371.77717
2013,"Carbon.dioxide",5522.908365
2014,"Carbon.dioxide",5572.106312
2015,"Carbon.dioxide",5422.965677
2016,"Carbon.dioxide",5306.662457
2017,"Carbon.dioxide",5270.748525
1990,"Methane",779.8455501
1991,"Methane",784.3848559
1992,"Methane",783.176602
1993,"Methane",770.3084041
1994,"Methane",775.1606505
1995,"Methane",767.8453442
1996,"Methane",759.4911582
1997,"Methane",744.9329262
1998,"Methane",729.6183166
1999,"Methane",717.4510349
2000,"Methane",709.3040229
2001,"Methane",703.9150035
2002,"Methane",694.9536317
2003,"Methane",695.4330205
2004,"Methane",687.5489887
2005,"Methane",691.4306477
2006,"Methane",691.9777976
2007,"Methane",694.6075837
2008,"Methane",702.3033841
2009,"Methane",692.6761273
2010,"Methane",697.4504035
2011,"Methane",675.5449017
2012,"Methane",665.3724035
2013,"Methane",663.0426412
2014,"Methane",662.0642206
2015,"Methane",661.3959199
2016,"Methane",654.8978836
2017,"Methane",656.3166791
1990,"Nitrous.oxide",370.3076942
1991,"Nitrous.oxide",368.9617565
1992,"Nitrous.oxide",371.7864421
1993,"Nitrous.oxide",385.3472337
1994,"Nitrous.oxide",376.5115272
1995,"Nitrous.oxide",388.5028303
1996,"Nitrous.oxide",395.5457489
1997,"Nitrous.oxide",386.6083756
1998,"Nitrous.oxide",402.4957706
1999,"Nitrous.oxide",377.0912495
2000,"Nitrous.oxide",376.9972544
2001,"Nitrous.oxide",378.0653569
2002,"Nitrous.oxide",376.4133857
2003,"Nitrous.oxide",379.9384254
2004,"Nitrous.oxide",400.2525742
2005,"Nitrous.oxide",375.7804722
2006,"Nitrous.oxide",384.3988843
2007,"Nitrous.oxide",393.0300103
2008,"Nitrous.oxide",374.5465557
2009,"Nitrous.oxide",373.2599579
2010,"Nitrous.oxide",382.9293777
2011,"Nitrous.oxide",375.073815
2012,"Nitrous.oxide",348.8761277
2013,"Nitrous.oxide",365.3542766
2014,"Nitrous.oxide",362.7427356
2015,"Nitrous.oxide",374.1088848
2016,"Nitrous.oxide",364.4857591
2017,"Nitrous.oxide",360.5156615
1990,"Fluorinated.gases",99.66785872
1991,"Fluorinated.gases",90.70466759
1992,"Fluorinated.gases",95.30071179
1993,"Fluorinated.gases",95.02734966
1994,"Fluorinated.gases",98.12980648
1995,"Fluorinated.gases",117.021137
1996,"Fluorinated.gases",127.6202624
1997,"Fluorinated.gases",134.9997496
1998,"Fluorinated.gases",150.5188665
1999,"Fluorinated.gases",147.3992212
2000,"Fluorinated.gases",148.4105841
2001,"Fluorinated.gases",134.9742368
2002,"Fluorinated.gases",142.8644407
2003,"Fluorinated.gases",132.7002812
2004,"Fluorinated.gases",139.8063768
2005,"Fluorinated.gases",141.2763321
2006,"Fluorinated.gases",143.5656628
2007,"Fluorinated.gases",154.4418911
2008,"Fluorinated.gases",155.494544
2009,"Fluorinated.gases",149.8851515
2010,"Fluorinated.gases",158.1035629
2011,"Fluorinated.gases",164.2155356
2012,"Fluorinated.gases",159.94363
2013,"Fluorinated.gases",158.9128922
2014,"Fluorinated.gases",163.0823642
2015,"Fluorinated.gases",165.3049973
2016,"Fluorinated.gases",166.221325
2017,"Fluorinated.gases",169.1373268
1990,"Total",6371.000543
1991,"Total",6315.615194
1992,"Total",6424.934357
1993,"Total",6532.069596
1994,"Total",6624.835787
1995,"Total",6710.067297
1996,"Total",6907.699054
1997,"Total",6968.461971
1998,"Total",7032.52601
1999,"Total",7071.461457
2000,"Total",7232.010774
2001,"Total",7116.810082
2002,"Total",7156.652868
2003,"Total",7199.262662
2004,"Total",7333.052049
2005,"Total",7339.039869
2006,"Total",7270.326948
2007,"Total",7369.967706
2008,"Total",7160.600813
2009,"Total",6709.369145
2010,"Total",6938.591681
2011,"Total",6787.419028
2012,"Total",6545.969331
2013,"Total",6710.218175
2014,"Total",6759.995633
2015,"Total",6623.775479
2016,"Total",6492.267425
2017,"Total",6456.718193
